startOffsetSeconds,endOffsetSeconds,severity,score
0.0,80.73,heavy,96.15
80.73,89.7,moderate,61.18
89.7,98.67,heavy,75.62
98.67,101.66,moderate,61.41
101.66,119.6,heavy,93.82
119.6,125.58,moderate,60.4
125.58,134.55,heavy,83.94
134.55,140.53,moderate,58.24
140.53,170.43,heavy,94.53
170.43,176.41,moderate,64.19
176.41,254.15,heavy,96.21
254.15,263.12,moderate,64.78
263.12,272.09,heavy,82.53
272.09,278.07,moderate,63.29
278.07,299.0,heavy,94.18
