eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
08636afd-8f1e-4708-9b4e-623ae31c7cd0,790b10df,vehicle-track,Gate 2.9,12:14:51,0.0,00:00:00,,1,,,"Tricycle #7 first seen at 0.0s, last seen at 50.0s"
1bcb0440-b043-49ba-a250-029e18773fb5,790b10df,vehicle-track,Gate 2.9,12:14:51,0.0,00:00:00,,1,,,"Car #4 first seen at 0.0s, last seen at 48.0s"
1c3fe87d-b167-462c-9d5b-a21898958e38,790b10df,vehicle-track,Gate 2.9,12:14:51,0.0,00:00:00,,1,,,"Car #13 first seen at 0.0s, last seen at 46.0s"
25c2a532-1c3b-4c7f-943a-de9ded9e9368,790b10df,vehicle-track,Gate 2.9,12:14:51,0.0,00:00:00,,1,,,"Car #3 first seen at 0.0s, last seen at 47.0s"
2eea041d-92ed-4e9a-9038-4c09820a78f1,790b10df,vehicle-track,Gate 2.9,12:14:51,0.0,00:00:00,,1,,,"Car #9 first seen at 0.0s, last seen at 57.0s"
478bec4a-87b7-4052-b935-be9b9d99d35d,790b10df,vehicle-track,Gate 2.9,12:14:51,0.0,00:00:00,,1,,,"Van #1 first seen at 0.0s, last seen at 43.0s"
5db93822-e356-4aa2-8866-dc143606e150,790b10df,vehicle-track,Gate 2.9,12:14:51,0.0,00:00:00,,1,,,"Car #14 first seen at 0.0s, last seen at 73.0s"
5dc84926-d21b-4f6b-bab3-24a30ffd5524,790b10df,vehicle-track,Gate 2.9,12:14:51,0.0,00:00:00,,1,,,"Car #2 first seen at 0.0s, last seen at 43.0s"
80fb6904-efb2-4a3f-b2c5-ae9d907c21ff,790b10df,vehicle-track,Gate 2.9,12:14:51,0.0,00:00:00,,1,,,"Car #10 first seen at 0.0s, last seen at 61.0s"
94c2229a-d2f7-4577-9648-702efa81977f,790b10df,vehicle-track,Gate 2.9,12:14:51,0.0,00:00:00,,1,,,"Car #11 first seen at 0.0s, last seen at 60.0s"
