startOffsetSeconds,endOffsetSeconds,severity,score
0.0,1.792,moderate,45.49
1.792,5.375,light,27.36
5.375,8.958,moderate,38.96
8.958,10.75,light,29.35
10.75,14.333,moderate,44.25
14.333,16.125,light,22.52
16.125,25.083,moderate,42.14
25.083,34.042,light,25.62
34.042,35.833,neutral,
35.833,37.625,light,17.08
37.625,39.417,neutral,
39.417,43.0,light,26.21
