eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
005bdca8-12d9-4cf8-8922-fcb7d3d35c29,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,0.0,00:00:00,,0,,,"class_0 #6 first seen at 0.0s, last seen at 54.0s"
4b92a35c-2aea-4f5d-bfbe-583f6b1322dd,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,0.0,00:00:00,,0,,,"class_0 #9 first seen at 0.0s, last seen at 57.0s"
565ec07b-ec76-495e-9e09-a186edbff6d8,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,0.0,00:00:00,,0,,,"class_0 #13 first seen at 0.0s, last seen at 46.0s"
839c1caa-dd0a-4b13-8054-9fb14014add0,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,0.0,00:00:00,,0,,,"class_0 #10 first seen at 0.0s, last seen at 61.0s"
95995724-ccba-4b49-ab8f-28d13bde4a89,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,0.0,00:00:00,,0,,,"class_0 #5 first seen at 0.0s, last seen at 51.0s"
a54f9bbf-81d4-41a7-8604-534f1f3855f1,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,0.0,00:00:00,,0,,,"class_0 #14 first seen at 0.0s, last seen at 73.0s"
b4706f84-6377-4ef9-8cad-e762acf5bc5c,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,0.0,00:00:00,,0,,,"class_0 #11 first seen at 0.0s, last seen at 60.0s"
c004fc53-e41c-45f7-a572-a223e993109b,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,0.0,00:00:00,,0,,,"class_0 #12 first seen at 0.0s, last seen at 70.0s"
c27cd71a-933b-4782-8720-a61ffa56a950,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,0.0,00:00:00,,0,,,"class_0 #2 first seen at 0.0s, last seen at 43.0s"
ca0e1eec-9fa2-437c-8523-730013b38994,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,0.0,00:00:00,,0,,,"class_0 #4 first seen at 0.0s, last seen at 48.0s"
d7a23e72-43ae-4888-886b-ffe63d161206,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,0.0,00:00:00,,0,,,"class_0 #3 first seen at 0.0s, last seen at 47.0s"
deb603c3-57cf-4eeb-af2c-8f1cdf472e93,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,0.0,00:00:00,,0,,,"class_4 #8 first seen at 0.0s, last seen at 56.0s"
e671fb7b-25eb-42a3-aefa-fd27a7e7f349,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,0.0,00:00:00,,0,,,"class_4 #1 first seen at 0.0s, last seen at 43.0s"
fd11bcd6-07d4-42ea-818d-e35513e17092,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,0.0,00:00:00,,0,,,"class_2 #7 first seen at 0.0s, last seen at 50.0s"
87aa773f-7eb8-4fad-b7eb-38b465125890,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,2.0,00:00:02,,36,,,"class_1 #15 first seen at 2.0s, last seen at 8.0s"
0683b9f6-b58a-469a-b7dd-c0b31a83c3d9,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,6.0,00:00:06,,96,,,"class_0 #16 first seen at 6.0s, last seen at 26.0s"
b1e99fb3-45f1-42d6-a39d-65c8757587cd,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,14.0,00:00:14,,216,,,"class_0 #17 first seen at 14.0s, last seen at 21.0s"
c913a7ce-8d70-485b-9d2d-443e21096f74,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,21.0,00:00:21,,318,,,"class_0 #18 first seen at 21.0s, last seen at 22.0s"
e690b082-93aa-4b1e-97d0-8831aeb66da9,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,21.0,00:00:21,,322,,,"class_0 #19 first seen at 21.0s, last seen at 24.0s"
0d68ac9c-76e8-4c89-a927-c7e4227acc34,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,24.0,00:00:24,,373,,,"class_0 #21 first seen at 24.0s, last seen at 25.0s"
7394d8b7-7fe3-4dd4-aed1-d413785e939e,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,24.0,00:00:24,,361,,,"class_0 #20 first seen at 24.0s, last seen at 63.0s"
2a79e078-cb2b-4ec5-bfdb-b2a7f53e052f,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,30.0,00:00:30,,462,,,"class_0 #22 first seen at 30.0s, last seen at 39.0s"
8a8e26f9-6a8b-48b1-8aae-3c66c0ed8781,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,31.0,00:00:31,,469,,,"class_4 #23 first seen at 31.0s, last seen at 75.0s"
4930c9d7-4dbd-468a-8144-34501acf985b,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,36.0,00:00:36,,551,,,"class_0 #24 first seen at 36.0s, last seen at 82.0s"
83a9cfd1-8244-40a5-86be-0f97e8c8989d,73f4aeb2,vehicle-track,Gate 2.9,10:00:00,40.0,00:00:40,,605,,,"class_0 #25 first seen at 40.0s, last seen at 41.0s"
